"yr_built","yr_remodel","overall_cond","bed_rms","full_bth","num_stops_0.25","num_stops_0.50","total_value","lu","bldg_value","land_value","res_units","living_area","condo"
1932,2021,"A - Average",4,2,0,0,787800,"R1",521400,266400,NA,1512,0
1907,2002,"A - Average",4,2,0,0,775200,"R2",502300,272900,NA,2886,0
1925,2018,"A - Average",6,3,0,0,1200300,"R3",946600,253700,NA,3435,0
1920,NA,"A - Average",7,2,0,1,860400,"R2",607800,252600,NA,3337.2,0
1945,1985,"A - Average",3,1,0,0,621700,"R1",417800,203900,NA,1274,0
1913,2019,"G - Good",4,1,0,0,844300,"R1",578800,265500,NA,1477,0
1950,NA,"G - Good",2,1,0,0,803200,"R1",607600,195600,NA,1317.5,0
1940,NA,"A - Average",2,1,0,0,480900,"R1",326000,154900,NA,936,0
1900,2004,"A - Average",4,2,1,1,1925500,"R1",1199800,725700,NA,3706.5,0
1890,NA,"A - Average",4,2,0,1,1009500,"R2",711800,297700,NA,3834.9,0
1900,2012,"A - Average",9,2,0,2,1042100,"R2",781300,260800,NA,4607.3,0
1900,2019,"A - Average",5,2,0,0,534900,"R1",376600,158300,NA,1490.4,0
1905,NA,"A - Average",9,3,0,1,1318400,"R3",1024700,293700,NA,3681,0
1900,NA,"A - Average",8,3,0,0,722000,"R2",486900,235100,NA,3992.4,0
1910,NA,"A - Average",8,3,0,0,710200,"R3",480800,229400,NA,3234,0
1935,2002,"G - Good",5,2,0,1,792500,"R2",563200,229300,NA,2412,0
1935,1989,"A - Average",4,2,0,1,684800,"R2",464800,220000,NA,2376,0
1900,2005,"A - Average",4,3,1,1,1317200,"R1",987100,330100,NA,2552.2,0
1900,NA,"A - Average",5,3,0,0,709600,"R3",454800,254800,NA,4327.8,0
1850,NA,"A - Average",2,2,0,0,535100,"R2",363900,171200,NA,1680,0
1880,2001,"A - Average",9,3,0,0,1044300,"R3",868700,175600,NA,4090,0
1900,NA,"G - Good",3,2,1,1,1164900,"R2",701200,463700,NA,1724,0
1922,NA,"A - Average",5,2,0,0,918300,"R2",576700,341600,NA,2600,0
1910,NA,"A - Average",5,2,1,1,1018500,"R2",658300,360200,NA,2700,0
1920,1993,"A - Average",9,3,0,0,900500,"R3",643200,257300,NA,3741,0
1935,NA,"A - Average",3,1,0,0,476900,"R1",286000,190900,NA,1028,0
1935,2017,"A - Average",3,1,0,0,745200,"R1",477500,267700,NA,1470,0
1905,2021,"G - Good",5,2,1,2,830000,"R1",635900,194100,NA,2075.6,0
1900,2004,"A - Average",6,3,0,0,625000,"R2",435700,189300,NA,3840,0
1905,1985,"A - Average",9,3,0,0,1e+06,"R3",683100,316900,NA,4317,0
1925,NA,"A - Average",5,2,3,5,1226700,"R2",857100,369600,NA,4124.4,0
1870,NA,"A - Average",4,1,0,1,863600,"R1",570100,293500,NA,1530,0
2022,NA,"G - Good",6,4,0,0,1027900,"R2",822700,205200,NA,3282,0
1935,NA,"A - Average",9,3,0,0,928500,"R3",720900,207600,NA,4725,0
1900,NA,"F - Fair",3,1,0,1,636600,"R1",381800,254800,NA,1292,0
1957,NA,"A - Average",3,1,0,0,661400,"R1",376300,285100,NA,1468.8,0
1892,NA,"A - Average",4,3,0,0,885600,"R3",515400,370200,NA,3545.7,0
1915,NA,"A - Average",4,2,0,0,718300,"R2",485900,232400,NA,2367.6,0
1910,NA,"A - Average",6,2,0,0,486100,"R1",314000,172100,NA,1843,0
1920,1985,"A - Average",6,3,0,0,769900,"R3",554800,215100,NA,3525,0
1905,NA,"A - Average",6,3,0,0,706800,"R3",507800,199000,NA,3600,0
1920,NA,"A - Average",6,2,0,0,774500,"R2",517200,257300,NA,3358,0
1900,2022,"A - Average",3,1,1,2,950000,"R1",649600,300400,NA,1464,0
1914,2022,"A - Average",5,4,0,1,1048400,"R2",739500,308900,NA,2662.4,0
1958,NA,"A - Average",4,1,0,2,491000,"R1",320800,170200,NA,1184,0
1901,1999,"A - Average",6,3,1,2,893600,"R3",577300,316300,NA,3568.2,0
1890,2013,"G - Good",6,3,0,0,1115700,"R1",893400,222300,NA,2451,0
1890,1984,"A - Average",9,3,0,0,766100,"R3",522100,244000,NA,4176,0
1905,NA,"A - Average",5,3,0,0,790200,"R3",484400,305800,NA,3492.8,0
1917,NA,"A - Average",4,2,0,0,728300,"R2",486400,241900,NA,2306,0
1900,NA,"A - Average",5,3,0,0,771600,"R3",517600,254000,NA,2373,0
1912,NA,"A - Average",6,3,0,0,713500,"R3",553400,160100,NA,1908,0
1890,2009,"G - Good",4,2,0,0,649600,"R1",461700,187900,NA,1267.3,0
1969,NA,"A - Average",3,2,0,0,582700,"R1",321200,261500,NA,2121.05,0
1955,2021,"A - Average",3,1,0,1,601500,"R1",400800,200700,NA,1312,0
1886,NA,"A - Average",4,2,0,1,890200,"R2",594300,295900,NA,3005.4,0
1900,NA,"A - Average",4,2,0,0,741000,"R2",491500,249500,NA,3190.8,0
1899,2020,"E - Excellent",4,4,0,3,7687300,"R1",5306000,2381300,NA,4525.35,0
1920,2020,"G - Good",3,4,0,0,1103300,"R1",852800,250500,NA,2375.6,0
1925,NA,"A - Average",4,2,0,0,792900,"R1",505200,287700,NA,2345,0
1910,1999,"A - Average",4,3,0,3,830600,"R3",625000,205600,NA,2992.6,0
1900,2000,"G - Good",3,1,0,1,857200,"R1",619700,237500,NA,1762,0
1905,NA,"A - Average",9,3,0,2,1492100,"R3",1217000,275100,NA,4797,0
